Title,Author
Arbitrary Stupid Goal,Tamara Shopsin
Asymmetry,Lisa Halliday
Solar Lottery,Philip K. Dick
Essays,Wallace Shawn
The Consuming Fire,John Scalzi
Convenience Store Woman,Sayaka Murata
Call Them by Their True Names,Rebecca Solnit
Life in Code: A Personal History of Technology,Ellen Ullman
The Body Where I Was Born,Guadalupe Nettel
How to Do Nothing,Jenny Odell
Limbo,Dan Fox
Pedro Páramo,Juan Rulfo
Voices from Chernobyl: The Oral History of a Nuclear Disaster,Svetlana Alexievich
Love Is Not Constantly Wondering If You Are Making the Biggest Mistake of Your Life,Anonymous
Signs Preceding the End of the World,Yuri Herrera
The Game-Players of Titan,Philip K. Dick
The House on Mango Street,Sandra Cisneros
The Zap Gun,Philip K. Dick
The Divine Invasion,Philip K. Dick
The Cosmic Puppets,Philip K. Dick
